timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,pos_error
1767457682.882795,-0.054076,-0.000014,-1.238768,0.012097,0.473509,-0.133922,-0.001365,0.026491,0.077686,-0.399936,0.007469,0.000000,134.820891
1767457682.984151,-0.061712,-0.000014,-1.245772,0.012032,0.473384,-0.133943,0.002648,0.026616,0.077508,-0.399933,0.007607,0.000000,126.660423
1767457683.084144,-0.067114,-0.000014,-1.252690,0.011981,0.473344,-0.132814,-0.001351,0.026656,0.077909,-0.399909,0.008768,0.000000,122.441497
1767457683.185676,-0.072777,-0.000014,-1.259468,0.011877,0.473487,-0.132189,0.002710,0.026513,0.078216,-0.399895,0.009376,0.000000,107.759016
1767457683.295252,-0.080609,-0.000014,-1.266277,0.011804,0.473664,-0.133326,-0.000043,0.026336,0.077956,-0.399824,0.012005,0.000000,87.836388
1767457683.400120,-0.089066,-0.000014,-1.273242,0.011803,0.473712,-0.134316,0.004000,0.026288,0.077562,-0.399763,0.013876,0.000000,75.870815
1767457683.504704,-0.095641,-0.000014,-1.280243,0.011758,0.473686,-0.133780,0.000637,0.026314,0.077674,-0.399716,0.015161,0.000000,72.161803
1767457683.608066,-0.100996,-0.000014,-1.287127,0.011749,0.473790,-0.132512,0.005008,0.026210,0.078089,-0.399620,0.017495,0.000000,65.855079
1767457683.716610,-0.106161,-0.000014,-1.292550,0.011814,0.473918,-0.132282,0.003012,0.026082,0.078167,-0.399492,0.020208,0.000000,57.423422
1767457683.825522,-0.114284,-0.000014,-1.299410,0.011853,0.474028,-0.133334,0.006531,0.025972,0.077839,-0.399123,0.026501,0.000000,45.054049
1767457683.940165,-0.122229,-0.000014,-1.306374,0.012007,0.473896,-0.134151,0.008742,0.026104,0.077568,-0.398695,0.032304,0.000000,39.129580
1767457684.053446,-0.128254,-0.000014,-1.313284,0.012166,0.473681,-0.131930,0.007132,0.026319,0.077789,-0.398362,0.036186,0.000000,37.030089
1767457684.158160,-0.133753,-0.000014,-1.320026,0.012340,0.473664,-0.130724,0.010554,0.026336,0.078119,-0.397482,0.044827,0.000000,32.167172
1767457684.259806,-0.133753,-0.000014,-1.320026,0.012340,0.473664,-0.130918,0.008645,0.026336,0.078119,-0.398442,0.035286,0.000000,42.973526
1767457684.351405,-0.135006,-0.000014,-1.321366,0.012383,0.473684,-0.131171,0.009028,0.026316,0.078143,-0.398572,0.033798,0.000000,45.996763
1767457684.608192,-0.156179,-0.000014,-1.340672,0.013427,0.473439,-0.126485,0.037662,0.026561,0.077632,-0.367380,0.158216,0.000000,18.331857
1767457684.660375,-0.156179,-0.000014,-1.340672,0.013427,0.473439,-0.131877,0.019453,0.026561,0.077632,-0.394323,0.067171,0.000000,28.621779
1767457684.716141,-0.162794,-0.000014,-1.348726,0.014072,0.473139,-0.127646,0.024852,0.026861,0.077995,-0.386892,0.101581,0.000000,25.395993
1767457685.007322,-0.181439,-0.000014,-1.366221,0.015175,0.473281,-0.022855,0.095558,0.026719,0.077702,0.153446,0.369399,0.000000,13.450083
1767457685.169246,-0.181439,-0.000014,-1.366221,0.015175,0.473281,-0.100507,0.086444,0.026719,0.077702,-0.234807,0.323830,0.000000,16.839903
1767457685.233697,-0.197341,-0.000014,-1.382680,0.019017,0.475297,0.007251,0.072005,0.024703,0.078014,0.278001,0.287603,0.000000,14.117600
1767457685.313462,-0.209250,-0.000014,-1.393535,0.025016,0.465763,0.108021,0.085699,0.034237,0.077072,0.374254,0.141188,0.000000,13.049778
1767457685.386338,-0.209250,-0.000014,-1.394431,0.030700,0.462525,0.038517,0.087743,0.037475,0.077117,0.386126,0.104439,0.000000,121.830137
1767457685.492980,-0.209250,-0.000014,-1.397540,0.034966,0.454527,0.075455,0.056797,0.045473,0.077424,0.378817,0.128445,0.000000,122.126899
1767457685.591820,-0.209250,-0.000014,-1.397218,0.039398,0.449237,0.090702,0.100167,0.050763,0.077020,0.340024,0.210676,0.000000,123.185056
1767457685.684346,-0.209250,-0.000014,-1.394547,0.043611,0.446730,0.118234,0.068080,0.053270,0.076183,0.331546,0.223787,0.000000,123.536701
1767457685.802844,-0.209250,-0.000014,-1.389969,0.048405,0.447799,0.140102,0.084279,0.052201,0.075085,0.388643,0.084741,0.000000,129.385028
1767457685.891188,-0.209250,-0.000014,-1.383814,0.054063,0.451514,0.091636,0.126625,0.048486,0.073760,0.052388,0.396553,0.000000,132.888864
1767457685.980036,-0.209250,-0.000014,-1.377222,0.058032,0.455969,0.104863,0.120974,0.044031,0.072359,-0.041880,0.397811,0.000000,143.369973
1767457686.097596,-0.209250,-0.000014,-1.367881,0.063328,0.461301,0.010409,0.091061,0.038699,0.070316,-0.388072,0.096956,0.000000,141.286109
1767457686.202623,-0.209250,-0.000014,-1.360748,0.071630,0.467317,0.030083,0.117650,0.032683,0.068975,-0.389436,0.091322,0.000000,147.415752
1767457686.282635,-0.209250,-0.000014,-1.354611,0.078797,0.468611,-0.039523,0.066979,0.031389,0.067561,-0.390359,0.087288,0.000000,153.155349
1767457686.390117,-0.209250,-0.000014,-1.352748,0.084605,0.469971,-0.026662,0.089358,0.030029,0.067275,-0.399385,0.022333,0.000000,168.203103
1767457686.476559,-0.209250,-0.000014,-1.351378,0.090800,0.469374,-0.071296,0.068726,0.030626,0.066994,-0.372394,0.146415,0.000000,392.688180
1767457686.588098,-0.209250,-0.000014,-1.352550,0.095366,0.469522,-0.059546,0.083755,0.030478,0.067414,-0.376558,0.134945,0.000000,184.679165
1767457686.690333,-0.209250,-0.000014,-1.354503,0.100195,0.470774,-0.093906,0.074709,0.029226,0.068133,-0.352453,0.189159,0.000000,192.745955
1767457686.789550,-0.209250,-0.000014,-1.357804,0.104788,0.472724,-0.077118,0.090969,0.027276,0.069259,-0.347998,0.197235,0.000000,199.003357
1767457686.896298,-0.209250,-0.000014,-1.361893,0.109613,0.475667,-0.111561,0.077796,0.024333,0.070679,-0.351876,0.190220,0.000000,196.026306
1767457686.982139,-0.209250,-0.000014,-1.366437,0.114768,0.478626,-0.071919,0.117057,0.021374,0.072236,-0.274228,0.291466,0.000000,208.214244
1767457687.088435,-0.209250,-0.000014,-1.371623,0.119763,0.481769,-0.118556,0.080212,0.018231,0.073981,-0.316881,0.244110,0.000000,207.927709
1767457687.188453,-0.209250,-0.000014,-1.376407,0.125440,0.484115,-0.076058,0.119756,0.015885,0.075584,-0.336654,0.216027,0.000000,215.771841
1767457687.290546,-0.209250,-0.000014,-1.379526,0.130299,0.485139,-0.105600,0.086041,0.014861,0.076629,-0.345410,0.201733,0.000000,224.024694
1767457687.412280,-0.209488,-0.000014,-1.384288,0.135096,0.485293,-0.093671,0.078257,0.014707,0.077982,-0.395712,0.058442,0.000000,117.912222
1767457687.508811,-0.213149,-0.000014,-1.387471,0.141593,0.485147,-0.106409,0.070850,0.014853,0.078047,-0.395107,0.062399,0.000000,97.577180
1767457687.615284,-0.222063,-0.000014,-1.392059,0.146897,0.484622,-0.107531,0.061450,0.015378,0.077035,-0.394202,0.067880,0.000000,86.355141
1767457687.722760,-0.229768,-0.000014,-1.397224,0.151381,0.483937,-0.118730,0.054314,0.016063,0.076463,-0.393522,0.071715,0.000000,76.689224
1767457687.819097,-0.232515,-0.000014,-1.402550,0.155512,0.482867,-0.114120,0.055689,0.017133,0.077206,-0.393672,0.070890,0.000000,86.917987
1767457687.921444,-0.234808,-0.000014,-1.407292,0.159381,0.481771,-0.106125,0.050912,0.018229,0.077906,-0.393149,0.073732,0.000000,81.423696
1767457688.028057,-0.241930,-0.000014,-1.412420,0.162745,0.481273,-0.121148,0.045229,0.018727,0.077465,-0.390956,0.084591,0.000000,60.991466
1767457688.148464,-0.251252,-0.000014,-1.418486,0.165852,0.480323,-0.126767,0.048913,0.019677,0.076649,-0.388664,0.094562,0.000000,51.784494
1767457688.258234,-0.257040,-0.000014,-1.424246,0.168882,0.478862,-0.112838,0.047395,0.021138,0.076647,-0.388960,0.093337,0.000000,56.145740
1767457688.352347,-0.257040,-0.000014,-1.424246,0.168882,0.478862,-0.113174,0.045946,0.021138,0.076647,-0.390628,0.086093,0.000000,70.793093
1767457688.458201,-0.265200,-0.000014,-1.435796,0.174099,0.478542,-0.126516,0.045513,0.021458,0.077718,-0.384142,0.111518,0.000000,45.453346
1767457688.494023,-0.265200,-0.000014,-1.435796,0.174099,0.478542,-0.127049,0.043596,0.021458,0.077718,-0.386798,0.101931,0.000000,57.852391
1767457688.705903,-0.281204,-0.000014,-1.446506,0.178807,0.477323,-0.113759,0.053906,0.022677,0.076420,-0.370031,0.151915,0.000000,34.923511
1767457688.765932,-0.281204,-0.000014,-1.446506,0.178807,0.477323,-0.115709,0.048644,0.022677,0.076420,-0.379769,0.125605,0.000000,44.456984
1767457688.811928,-0.283757,-0.000014,-1.448836,0.179835,0.477134,-0.123006,0.047082,0.022866,0.076389,-0.381321,0.120812,0.000000,48.178498
1767457688.978664,-0.296778,-0.000014,-1.465007,0.185979,0.476901,-0.098965,0.079833,0.023099,0.077454,-0.302547,0.261659,0.000000,29.322130
1767457689.031934,-0.296778,-0.000014,-1.465007,0.185979,0.476901,-0.110131,0.063039,0.023099,0.077454,-0.358370,0.177688,0.000000,36.164206
1767457689.281544,-0.314139,-0.000014,-1.477713,0.191233,0.476581,-0.077686,0.086905,0.023419,0.076430,-0.096017,0.388305,0.000000,26.893391
1767457689.382525,-0.314139,-0.000014,-1.477713,0.191233,0.476581,-0.121483,0.058553,0.023419,0.076430,-0.314989,0.246541,0.000000,34.498500
1767457689.457682,-0.319545,-0.000014,-1.485736,0.195806,0.476060,-0.094133,0.091487,0.023940,0.077278,-0.296644,0.268333,0.000000,33.982695
1767457689.563600,-0.323896,-0.000014,-1.489689,0.198972,0.476233,-0.080943,0.101020,0.023767,0.077327,-0.231296,0.326347,0.000000,32.328441
1767457689.593579,-0.331879,-0.000014,-1.495208,0.202255,0.475681,-0.045107,0.109865,0.024319,0.076788,-0.026801,0.399102,0.000000,30.561953
1767457689.683243,-0.344637,-0.000014,-1.508112,0.212689,0.473892,0.017189,0.080461,0.026108,0.077182,0.325151,0.232975,0.000000,29.714162
1767457689.811736,-0.350327,-0.000014,-1.513010,0.217444,0.472930,0.038757,0.104097,0.027070,0.077135,0.347844,0.197497,0.000000,31.415608
1767457689.910671,-0.356480,-0.000014,-1.515061,0.222899,0.469269,0.079623,0.078130,0.030731,0.076066,0.339359,0.211745,0.000000,32.144756
1767457689.984967,-0.358317,-0.000014,-1.514179,0.227834,0.466430,0.091897,0.100036,0.033570,0.075403,0.352732,0.188630,0.000000,140.724723
1767457690.090288,-0.358317,-0.000014,-1.511721,0.233425,0.464721,0.107204,0.098162,0.035279,0.074932,0.279138,0.286501,0.000000,141.192183
