timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y,drone3_pose_x,drone3_pose_y,drone3_pose_z,drone3_velocity_x,drone3_velocity_y,drone3_velocity_z,cable3_tension,drone3_control_x,drone3_control_y,drone3_control_z,attachment_point3_x,attachment_point3_y,drone4_pose_x,drone4_pose_y,drone4_pose_z,drone4_velocity_x,drone4_velocity_y,drone4_velocity_z,cable4_tension,drone4_control_x,drone4_control_y,drone4_control_z,attachment_point4_x,attachment_point4_y
1756810457.240063,-0.652892,0.032927,-1.831419,0.292725,0.274815,-0.045568,0.041025,-0.010524,0.078705,-0.362424,0.254179,0.080885,-0.852891,0.032260,-1.284161,1.057462,0.214209,-0.014936,0.023718,-0.001032,0.078835,-0.149616,0.401767,0.137222,-0.852891,0.032260,-1.704660,-0.135639,0.479638,-0.082880,0.044954,0.019914,0.063639,-0.137656,0.377619,-0.202374,-0.852891,0.032260,-1.698928,0.658042,0.319996,-0.030389,0.039660,-0.010183,0.078880,-0.318081,0.257448,0.187407,-0.852891,0.032260
1756810457.412052,-0.658924,0.032971,-1.836772,0.297936,0.274483,-0.046312,0.048269,0.001663,0.078733,-0.364288,0.262196,0.032380,-0.858923,0.032304,-1.286060,1.060109,0.214636,-0.019260,0.019378,0.011966,0.078951,-0.145439,0.416942,0.087925,-0.858923,0.032304,-1.714401,-0.129805,0.483651,-0.101285,0.052800,0.039877,0.064428,-0.105665,0.324906,-0.292868,-0.858923,0.032304,-1.702340,0.662883,0.320847,-0.030342,0.047217,0.019132,0.078955,-0.344282,0.278377,0.081043,-0.858923,0.032304
1756810457.607451,-0.665917,0.033816,-1.842507,0.303655,0.275143,-0.050249,0.050113,0.006846,0.078784,-0.354643,0.276783,0.010964,-0.865916,0.033149,-1.287133,1.064492,0.216338,-0.002126,0.046637,0.011353,0.078894,-0.118113,0.424159,0.093976,-0.865916,0.033149,-1.724726,-0.120550,0.488254,-0.073979,0.092447,0.028880,0.065281,-0.101891,0.357939,-0.252978,-0.865916,0.033149,-1.706191,0.669141,0.323255,-0.033866,0.053056,0.016852,0.079070,-0.287422,0.334594,0.089451,-0.865916,0.033149
1756810457.774593,-0.674385,0.034629,-1.848516,0.310038,0.275617,-0.049181,0.057530,0.000755,0.078543,-0.335568,0.297728,0.035400,-0.874384,0.033963,-1.287504,1.069981,0.216874,-0.003467,0.042918,-0.000452,0.078869,-0.095667,0.418943,0.134380,-0.874384,0.033963,-1.733901,-0.108165,0.490202,-0.082839,0.107762,0.003838,0.065069,-0.020846,0.424735,-0.147196,-0.874384,0.033963,-1.710630,0.675153,0.324608,-0.044351,0.034299,0.007961,0.078928,-0.256423,0.349792,0.120394,-0.874384,0.033963
1756810457.974242,-0.680777,0.035429,-1.853322,0.315623,0.275538,-0.046243,0.053485,-0.002251,0.078492,-0.333227,0.298532,0.048360,-0.880776,0.034762,-1.287828,1.074301,0.216656,-0.007146,0.039135,-0.003484,0.078821,-0.102799,0.414211,0.143434,-0.880776,0.034762,-1.741969,-0.098377,0.489784,-0.070194,0.080927,-0.008735,0.065108,-0.037513,0.439732,-0.087912,-0.880776,0.034762,-1.715192,0.678049,0.324657,-0.044096,0.029613,-0.008440,0.078825,-0.254421,0.324473,0.180462,-0.880776,0.034762
1756810458.156031,-0.687613,0.036331,-1.859734,0.322776,0.276225,-0.045167,0.053560,0.009397,0.078849,-0.326860,0.309294,-0.000412,-0.887612,0.035664,-1.289394,1.078889,0.216175,-0.012880,0.027870,-0.001991,0.078892,-0.129677,0.408096,0.138864,-0.887612,0.035664,-1.749312,-0.088961,0.489574,-0.042442,0.063383,0.010588,0.064958,0.018463,0.414013,-0.175366,-0.887612,0.035664,-1.720132,0.683865,0.324274,-0.030817,0.045609,0.003386,0.079086,-0.311768,0.293437,0.138735,-0.887612,0.035664
1756810458.322588,-0.695250,0.036611,-1.865220,0.329739,0.277642,-0.048584,0.061006,0.011382,0.078670,-0.307469,0.328414,-0.010387,-0.895249,0.035944,-1.291163,1.082291,0.217103,-0.010592,0.037901,0.013937,0.078922,-0.081823,0.434415,0.085425,-0.895249,0.035944,-1.755087,-0.080596,0.493335,-0.055475,0.092086,0.055929,0.064368,0.051357,0.255185,-0.367074,-0.895249,0.035944,-1.723658,0.689590,0.325892,-0.029688,0.052555,0.019969,0.078976,-0.251154,0.365544,0.076623,-0.895249,0.035944
1756810458.483805,-0.702325,0.037160,-1.870391,0.335612,0.278886,-0.052888,0.060791,0.012962,0.078556,-0.303873,0.331387,-0.018555,-0.902323,0.036493,-1.291774,1.086359,0.218183,-0.002081,0.041951,0.007149,0.078931,-0.077820,0.430534,0.106320,-0.902323,0.036493,-1.760958,-0.068500,0.498790,-0.062043,0.138273,0.041620,0.063981,0.064048,0.307146,-0.322583,-0.902323,0.036493,-1.726897,0.695425,0.327805,-0.035963,0.056173,0.015325,0.078935,-0.245167,0.366201,0.091502,-0.902323,0.036493
1756810458.637274,-0.708604,0.037747,-1.875420,0.342065,0.279936,-0.046298,0.066044,0.007914,0.078646,-0.267675,0.361754,0.000442,-0.908603,0.037081,-1.291560,1.090570,0.218515,0.003039,0.043314,0.000691,0.078962,-0.066279,0.426368,0.128638,-0.908603,0.037081,-1.766870,-0.055180,0.500451,-0.053481,0.120455,-0.002813,0.063466,0.120033,0.413250,-0.131597,-0.908603,0.037081,-1.730648,0.700481,0.328562,-0.038098,0.041770,0.001640,0.079041,-0.237066,0.355272,0.141940,-0.908603,0.037081
1756810458.847587,-0.714732,0.039040,-1.879766,0.348712,0.280702,-0.041028,0.066739,0.007885,0.078712,-0.300877,0.334624,0.000058,-0.914731,0.038373,-1.291461,1.095123,0.218362,-0.004939,0.044279,-0.003400,0.078788,-0.082978,0.419969,0.139463,-0.914731,0.038373,-1.772070,-0.044013,0.498716,-0.037502,0.097463,-0.022744,0.062955,0.094090,0.438390,-0.038234,-0.914731,0.038373,-1.734473,0.704318,0.328582,-0.037664,0.041236,-0.002187,0.078927,-0.246383,0.342716,0.156186,-0.914731,0.038373
